"trial","ref_position","var_area","response","correct","rt"
1,"R",12.2003391731996,"L",TRUE,1.90100002288818
2,"L",11.1397849612404,"L",FALSE,6.79900002479553
3,"R",14.9747549898457,"R",FALSE,1.89499998092651
4,"L",8.30056911334395,"L",TRUE,0.894999980926514
5,"R",8.51033720723353,"L",FALSE,3.61299991607666
6,"R",11.4095416539349,"L",TRUE,1.70599985122681
7,"R",10.5613536965102,"L",TRUE,4.3050000667572
8,"R",8.93905406352133,"R",TRUE,2.08399987220764
9,"L",10.8643443849869,"R",TRUE,2.19799995422363
10,"R",11.7192905589473,"L",TRUE,2.10399985313416
11,"L",10.9680091440678,"R",TRUE,2.18600010871887
12,"L",8.26356137334369,"L",TRUE,2.98199987411499
13,"L",9.59658567956649,"R",TRUE,3.38700008392334
14,"R",13.2506529085804,"L",TRUE,2.10699987411499
15,"R",8.94232706679031,"L",FALSE,1.69599986076355
16,"L",9.28646832727827,"R",TRUE,1.90000009536743
17,"L",8.32573372148909,"L",TRUE,5.90999984741211
18,"R",10.9120876756497,"R",FALSE,1.68400001525879
19,"L",14.9637993653305,"R",TRUE,1.69700002670288
20,"L",13.282026958419,"R",TRUE,3.6029999256134
